sentence,label
"I didn't do that because that seems bad in hive, so I returned ""null"" from the operation.",0
"Sorry guys, I've been pretty busy @ work but I have been watching this.",0
Damn it !,0
I am currently trying to get it into AJDT dev builds but my git push is timing out (damn thing!,0
Code looks cool.,1
Sorry everyone.,0
Sorry.,0
Sorry for being confusing.,0
"+1, thanks Tom!",1
I am planning to use this framework for some new RPCs I am adding.,0
"Um sorry, i thought this ticket was about something else - patch attached, David would you give a try?",0
I'm glad we were able to resolve this issue.,1
"Ie, both at are bad.",0
"Sun RI sucks, why the hell is saveState() and restoreState() not called with with javax.faces.STATE_SAVING_METHOD = server???",0
"umm ... call me crazy, but why are we making this public?",0
Thank you!,1
"RMAppAttemptImpl.recoverAppAttemptTokens()

Looks like all changes in RMAppImpl are unnecessary.",0
Thanks Hari!,1
I did it wrong this time.,0
Where on earth are you anyway?,0
Version 2.2.0RC3 is fine.,1
"Seems we didn't enforce an exec for sh, but we did for fs.",0
"who the fuck is asking for scores, but not the max score, and why does their insanely specialized use case justify all these booleans on a central lucene class.
",0
"Awesome work: this is a great first cut!
",1
"Best regards,

Andrew",1
Thanks Ivan.,1
This sucks.,0
It's OK.,1
WOW....you are right...I'm deeply sorry to bother you guys (and I'm also a bit embarrassed).,0
I'm confused.,0
(sorry if that was confusing),0
"Adrian,

thanks for the patch: rev.",1
bq. this is solr's fault by having a getter that does some heavy duty xml shit.,0
Thanks Bryan!,1
"Thanks, Sanjay!",1
oh ...geez I'm an idiot.,0
"Sorry, we are no longer using Xerces.",0
"Holy complicated-as-shit-algorithm, Batman!

The complexity of our implementation vs the complexity of what we're actually doing is starting to worry me here.",0
I have a really bad habit of not reading thru all the bug comments before asking questions.,0
"Well, either you query the database every damn time, and your plugin/tool/code will be super slow.",0
A stupid bug in a patch that is already applied.,0
Thanks Ashutosh and Gunther for your help!,1
"Because, we don't care for this in cases where we there is no node that is down.",0
Thanks for the patch Erik (and Jon),1
Thanks Tom!,1
Another backport (for a different jira) of mine is failing and I want to see if I can figure out what might be wrong there before doing a new backport.,0
Jonathan: over to you :),1
This is Awesome Stefan - thanks a million!,1
Thanks Galder:),1
"Thanks,
Mayank",1
Does this suck?,0
This is clearly bad webserver behaviour.,0
I always get the same stupid error.,0
"durrrh, that sucks.",0
"And I think if we're going to do a sweep up of shit, we should just kill root.",0
"Thanks for your patience.
",1
"Sorry Gav
DONE
Committed @revision 2487.",0
Cool - good information to have.  Thanks Lance!,1
"Bad.
",0
Awesome - great stuff Maria.  Thanks!,1
My bad!,0
Very cool.,1
"Sorry Chris,

I missed it, done !",0
Doh!,0
"Thanks for taking a look, Jiannan
",1
Thanks Stepan.,1
"Shit, I missed a cast.",0
"Sorry, Thiru, I hope you haven't already started working on this!",0
Who made this stupid rule?,0
 I like the elegant parser!  ,1
Sorry for that.,0
Logger on top of Log4J and its abstract base class for supporting other frameworks.,0
Looks good.,1
"Thanks Atul,

Your patch is in trunk at r933169

I just added some ""mod for OFBiz layered lookups"" comments around changes as suggested Sascha",1
"It also happens at the very startup after he has loaded only 3 sstables (hence DataTracker likely have 3 sstables, not a shit load).",0
Thanks for looking into this Suresh.,1
That's weird.,0
"Nice feature, lars!!",1
"I don't have very much experience on branch-1, would you like to take a shot at the port?",0
"Looks good, thanks Laura!",1
My bad.,0
Since this patch is so damn large already I won't be making anymore changes to this other than critical/blocker bug fixes.,0
Awesome!,1
"Brandon, sorry.",0
"Seems to be failing for a different reason now

testContainerLaunch(org.apache.hadoop.yarn.server.nodemanager.TestLinuxContainerExecutorWithMocks)  Time elapsed: 0.523 sec  <<< FAILURE!",0
"So very cool, and so very committed-- thanks Matthias, this is awesome.",1
"The eclipse ui was completly stuck, which was similiar to the other experinces.",0
Wow!,1
"{quote}
searcher.getAtomicReader().getSortedDocValues(uniqueKey);
{quote}

This is a performance killer.",0
My bad...,0
Thanks for doing that Uma.,1
"well sorry, i didn't upload the right files",0
Splitting an existing sub-shard gets stuck up.,0
"Done, sorry for all the mess on a simple patch.",0
Not sure I want the transient inability to clean up some local log or other trivial task to kill a whole pig job?,0
"My bad, forgot to include the test file in the patch... Resubmitting in a second. ",0
thanks Tomas!,1
"Yes, the patch is badly named - sorry!",0
Fix bad patch,0
Thanks to both for these usability enhancements !,1
"The defect  from hell 666, be scared..",0
I believe in relativity :-),1
"Sorry, attached the file to the wrong issue.",0
"You're results are awesome Paul. Great work :)
Looking forward to see your new JSON parser in trunk whenever you think is ready.",1
I'm very sorry.,0
"I was in too much of a hurry, sorry hold on a sec.",0
My bad.,0
Sorry about the report.,0
"if someone wants to work on this please go ahead, I still plan to, just no time yet.",0
"But now that I think about it, it may crap out when coming back to read even on a recovered file.",0
Thanks Elena.,1
Sorry guys,0
"I'm against such heavy committing myself, without some consensus to do so.",0
thanks for the explanation.,1
This was my bad.,0
the recommendation in the wiki is bad.,0
Thanks for the reviews..,1
Thanks Ashish!,1
"I doubt that Squid is so
bad at it.",0
